id,label
ANSC 168,ANSC 168. The Human Condition (4)
ANSC 169,ANSC 169. Culture and Environment: Research Seminar and Practicum (4)
ANSC 170,ANSC 170. Modernity and Human Experience (4)
ANSC 171,ANSC 171. Multimodal Methods in Ethnography (4)
ANSC 173,ANSC 173. Ethnography in Practice (4)
ANSC 175,"ANSC 175. Money, Work, and Nature: The Anthropology of Capitalism (4)"
ANSC 176,ANSC 176. The Meaning of Political Violence (4)
ANSC 177,ANSC 177. Step Into Anthrohistory: The Past and Its Hold on the Future (4)
ANSC 178,"ANSC 178. Brain, Mind, Culture, and History (4)"
ANSC 179,"ANSC 179. The New Economic Anthropology: Producing, Consuming, and Exchanging Stuff Worldwide (4)"
ANSC 180,ANSC 180. Capitalism and Gender (4)
ANSC 181,ANSC 181. Animal Affairs (4)
ANSC 182,ANSC 182. Gun Violence as Social Pathology (4)
ANSC 183,"ANSC 183. Visualizing the Human: Film, Photography, and Digital Technologies (4)"
ANSC 184,"ANSC 184. Food, Culture, and Society (4)"
ANSC 185,ANSC 185. #BlackLivesMatter (4)
ANSC 186,ANSC 186. Gender and Incarceration (4)
ANSC 187,ANSC 187. Anthropology of Mental Health in Israel and the Diaspora (4)
ANSC 188,ANSC 188. Cultures of Healing (4)
ANSC 190,ANSC 190. Yoga Practices: From Banaras to Beverly Hills (4)
ANSC 190GS,ANSC 190GS. Medicine and Healing in South Asia (4)
ANSC 191,ANSC 191. Narrative and Subjectivity (4)
ANSC 191GS,ANSC 191GS. Everyday Life in South Asia: Beyond the Clichés (4)
ANSC 192,ANSC 192. Liberation Bound: Struggles Against Capitalism and Imperialism Worldwide (4)
ANSC 192A,ANSC 192A. US Empire: What Is It? (4)
ANSC 192GS,ANSC 192GS. Rethinking Poverty and Development (4)
ANSC 193,ANSC 193. Capitalism and Nature (4)
ANSC 193GS,ANSC 193GS. Human Rights and Environmental Justice (4)
ANSC 194,"ANSC 194. Language, Migration, Borders (4)"
ANSC 196,ANSC 196. Human Rights Advocacy Seminar (4)
ANTH 200,ANTH 200. Special Topics in Anthropology Graduate Studies (4)
ANTH 201,ANTH 201. Special Topics in Anthropological Archaeology (4)
ANTH 202,ANTH 202. Olmec and Maya Archaeology (4)
ANTH 203,ANTH 203. Introduction to Anthropogeny (4)
ANTH 204,ANTH 204. Contemporary Anthropology (4)
ANTH 205,ANTH 205. Postcolonial and Decolonial Anthropology (4)
ANTH 206,"ANTH 206. Race, Ethnicity, and Citizenship (4)"
ANTH 207,ANTH 207. Eastern Mediterranean Archaeology—New Perspectives (4)
ANTH 209,ANTH 209. Archaeology’s Role in Building National Narrative: Israel as a Case Study (4)
ANTH 210,ANTH 210. Religion and Globalization (4)
ANTH 212,ANTH 212. Advanced Topics in Biological Anthropology (4)
ANTH 213,ANTH 213. Anthropology and Mental Health (4)
ANTH 214,"ANTH 214. Kin, Land, and Labor-Cultivating Relations (4)"
ANTH 215,ANTH 215. Advanced Topics in Sociocultural Anthropology (4)
ANTH 216,ANTH 216. Global Pentecostalism (4)
ANTH 218,ANTH 218. Anthropology of the State and Governance (4)
ANTH 219,ANTH 219. Seminar in Political Anthropology (4)
ANTH 220,ANTH 220. The Human Body in Discourse and Experience (4)
ANTH 221,ANTH 221. Phenomenology of Perception (4)
ANTH 222,ANTH 222. Anthropological Studies of Subjectivity (4)
ANTH 223,ANTH 223. Anthropological Interviewing (4)
ANTH 224,ANTH 224. The Anthropology of Gender and Sexuality (4)
ANTH 226,ANTH 226. Ethnography of Christianity (4)
ANTH 227,ANTH 227. Living in an Emotional World (4)
ANTH 228,ANTH 228. Partners Not Subjects: Community-Engaged Research for Anthropologists (4)
ANTH 229,ANTH 229. Religion and Healing (4)
ANTH 230,ANTH 230. Department Colloquium (1)
ANTH 231,"ANTH 231. Maritime Archaeology in the Eastern Mediterranean—New Perspectives on Climate, Environmental, and Cultural Change (4)"
ANTH 232,ANTH 232. Labor and Semiotics (4)
ANTH 233,ANTH 233. Critical Studies of Capitalism (4)
ANTH 235,ANTH 235. Theories of Social Justice (4)
ANTH 237,ANTH 237. Native American Health and Healing (4)
ANTH 238,ANTH 238. Immigrant and Refugee Health (4)
ANTH 239,ANTH 239. Contemporary Religious Movements (4)
ANTH 242,ANTH 242. Anthropology of Latin America (4)
ANTH 243,ANTH 243. Mental Health as Global Health Priority (4)
ANTH 244,ANTH 244. Andean Prehistory: Origins of Chiefdoms and States (4)
ANTH 245,ANTH 245. The Middle Horizon (4)
ANTH 246,ANTH 246. The Inca and the Late Horizon (4)
ANTH 247,ANTH 247. Multimodal Interaction (4)
ANTH 248,ANTH 248. Global Health and Cultural Diversity (4)
ANTH 249,ANTH 249. Gender and Mental Health (4)
ANTH 250,ANTH 250. The Anthropology of Human Rights (4)
ANTH 251,ANTH 251. The Ethnography of Modernity (4)
ANTH 253,ANTH 253. Who Cares? Sympathy and the Conduct of Liberalism (4)
ANTH 254,ANTH 254. Dissertation Practicum (4)
ANTH 255,ANTH 255. Understanding the Human Social Order (4)
ANTH 256,ANTH 256. Seminar on Brain Evolution (4)
ANTH 257,"ANTH 257. Mind, Self, and Identity (4)"
ANTH 258,ANTH 258. Analytical Methods in Archaeology (4)
ANTH 259,ANTH 259. Gender and Mental Health (4)
ANTH 260,ANTH 260. Seminar in Medical and Psychological Anthropology (4)
"ANTH
		    261","ANTH
		    261. Audio and Video Methods in Ethnography (4)"
ANTH 262,ANTH 262. Critical Anthropology Workshop (4)
ANTH 263,ANTH 263. Beyond the Genome (4)
ANTH 264,ANTH 264. Human Evolutionary Genetics (4)
ANTH 265,ANTH 265. Marine and Coastal Archaeology: Israel and the Neighboring Lands (4)
ANTH 266,ANTH 266. Anthropology of Love (4)
ANTH 267,"ANTH 267. Decolonizing Ethnography: Ethics, Politics, and Praxis (4)"
ANTH 268,ANTH 268. Introduction to Science Studies: Part I (4)
ANTH 269,ANTH 269. Introduction to Science Studies: Part II (4)
ANTH 270,ANTH 270. The Archaeology of Climate Change—Social Adaptation and Vulnerability in Temporal Perspective (4)
ANTH 271,ANTH 271. Ethics and Survival Skills in Academia (2)
ANTH 272,ANTH 272. Seminar in Science Studies (4)
ANTH 273,ANTH 273. Colloquium in Science Studies (4)
ANTH 274,ANTH 274. Debates in Anthropology (4)
ANTH 275,ANTH 275. Paleoethnobotany (6)
ANTH 277,ANTH 277. Critique of Value and the Value of Critique (4)
ANTH 278,ANTH 278. Anthropological Methods (4)
"ANTH
				    279","ANTH
				    279. Special Topics in Language and Society (4)"
"ANTH
				    280A","ANTH
				    280A. Core Seminar in Social Anthropology (4)"
"ANTH
				    280B","ANTH
				    280B. Core Seminar in Cultural Anthropology (4)"
ANTH 280C,ANTH 280C. Core Seminar in Psychological Anthropology (4)
ANTH 280D,ANTH 280D. Core Seminar in Anthropological Archaeology (4)
ANTH 280E,ANTH 280E. Core Seminar in Biological Anthropology (4)
ANTH 280F,ANTH 280F. Core Seminar in Linguistic Anthropology (4)
ANTH 281A,ANTH 281A. ProSeminar (2)
ANTH 281B,ANTH 281B. ProSeminar (2)
ANTH 281C,ANTH 281C. Anthropology ProSeminar (2)
ANTH 283A,ANTH 283A. Fieldwork Seminar (4)
ANTH 284,ANTH 284. Master Writing Practicum (4)
ANTH 285,ANTH 285. Grants Writing Practicum (4)
ANTH 287,ANTH 287. Ethnography Practicum (4)
ANTH 288,ANTH 288. Archaeology Practicum (12)
ANTH 289S,ANTH 289S. Tanzania Anthropogeny Study Tour (1–4)
ANTH 291,ANTH 291. Archaeology of Highland Mexico (4)
ANTH 292,ANTH 292. Social Evolution/Iron Age Levant (4)
ANTH 293,ANTH 293. Primate Socioecology (4)
ANTH 295,ANTH 295. Master’s Thesis Preparation (4)
ANTH 296,ANTH 296. Dissertation Fieldwork Proposal Preparation (4)
ANTH 297,ANTH 297. Research Practicum (1–4)
ANTH 298,ANTH 298. Independent Study (1–4)
ANTH 299,ANTH 299. Dissertation Research (1–12)
ANTH 500,ANTH 500. Apprentice Teaching (4)
AUD 236,AUD 236. Preceptorship in Neuro-Otology (2)
AUD 255,AUD 255. Anatomy and Physiology of the Auditory and Vestibular Systems (4)
AUD 256,AUD 256. Pathophysiology of the Auditory and Vestibular Systems (4)
AUD 257,AUD 257. Ear Diseases and Treatment (3)
AUD 263,AUD 263. Physiological and Behavioral Tests of Vestibular Function (4)
AUD 264,AUD 264. Auditory and Vestibular Development and Genetics (3)
AUD 270,AUD 270. Newborn Hearing Screening and Management (3)
AUD 271,AUD 271. Temporal Bone Anatomy (3)
AUD 272,AUD 272. Central Auditory Processing Assessment and Management (4)
AUD 274,AUD 274. Advanced Technical Aspects of Hearing Amplification (4)
AUD 275,AUD 275. Intraoperative Monitoring (3)
AUD 276,AUD 276. Cochlear Implants and Other Implantable Sensory Aids (3)
AUD 284,AUD 284. Clinical Practice in Audiology II (1-4)
AUD 291,AUD 291. Clinical Case Studies/Staffing (1)
AUD 296,AUD 296. Research Practicum (3)
AUD 298,AUD 298. Independent Research (3)
AUD 299,AUD 299. Doctoral Project (3)
BNFO 281,BNFO 281. Seminar in Bioinformatics and Systems Biology (1)
BNFO 283,BNFO 283. Bioinformatics Student Research Talks (1)
BNFO 284,BNFO 284. Nonlinear Dynamics in Quantitative Biology (4)
BNFO 285,BNFO 285. Statistical Learning in Bioinformatics (4)
BNFO 286,BNFO 286. Network Biology and Biomedicine (4)
BNFO 294,BNFO 294. Scientific Ethics (1)
BNFO 298,BNFO 298. Research Rotation (4)
BNFO 299,BNFO 299. Graduate Research (1–12)
BNFO 500,BNFO 500. Teaching Assistantship (2–4)
BILD 1,BILD 1. The Cell (4)
BILD 2,BILD 2. Multicellular Life (4)
BILD 3,BILD 3. Organismic and Evolutionary Biology (4)
BILD 4,BILD 4. Introductory Biology Lab (2)
BILD 7,BILD 7. The Beginning of Life (4)
BILD 10,BILD 10. Fundamental Concepts of Modern Biology (4)
BILD 12,BILD 12. Neurobiology and Behavior (4)
BILD 18,BILD 18. Human Impact on the Environment (4)
BILD 20,BILD 20. Human Genetics in Modern Society (4)
BILD 22,BILD 22. Human Nutrition (4)
BILD 26,BILD 26. Human Physiology (4)
BILD 30,BILD 30. Biology of Plagues: Past and Present (4)
BILD 36,BILD 36. AIDS Science and Society (4)
BILD 38,"BILD 38. Dementia, Science, and Society (4)"
BILD 40,BILD 40. Introduction to Biomedical Research (2)
BILD 42,BILD 42. Our Sustainable Future (4)
BILD 44,BILD 44. Scientific Perspectives for a Changing World (4)
BILD 46,BILD 46. Ecology of a Changing Planet (4)
BILD 51,BILD 51. Quantitative Biology Project Lab (4)
BILD 60,"BILD 60. Exploring Issues of Diversity, Equity, and Inclusion in Relation to Human Biology (4)"
BILD 70,BILD 70. Genomics Research Initiative Lab I (4)
BILD 87,BILD 87. First-year Student Seminar Program (1)
BILD 91,BILD 91. Biology First-year Students: Strategies for Success (1)
BILD 92,BILD 92. Professional Development Topics in the Biological Sciences (1)
BILD 95,BILD 95. Undergraduate Workshops (1)
BILD 96,BILD 96. Biology: Honors Seminar (2)
BILD 98,BILD 98. Directed Group Study (1 to 4)
BILD 99,BILD 99. Independent Research (2 or 4)
BIBC 100,BIBC 100. Structural Biochemistry (4)
BIBC 102,BIBC 102. Metabolic Biochemistry (4)
BIBC 103,BIBC 103. Biochemical Techniques (4)
BIBC 120,BIBC 120. Nutrition (4)
